english,Word,label
11,palkon,hi
13,aasoon,hi
15,kishore,hi
17,vocal,en
20,stephen,en
36,weed,en
46,yepieee,en
50,vaidehisachin,hi
53,samjhane,hi
58,padhte,hi
60,modiji,hi
62,gazal,hi
69,place,en
70,pomendi,en
71,along,en
73,kalpesh,hi
74,salvi,hi
82,msgloveshumanity,en
86,hope,en
99,emraanhashmi,hi
103,padta,hi
108,manohar,hi
109,apologize,en
115,rameshchahal,hi
125,khor,hi
130,mehnat,hi
141,sandy,en
146,gayee,hi
152,bavalapanti,hi
153,karta,hi
162,dikhayi,hi
166,aymond,en
171,mailtosamip,en
180,hearing,en
181,angel,en
182,scamqueenonroad,en
203,kumarpresident,en
204,helpline,en
205,srkscombatant,en
206,srksaroz,en
207,srkswarrior,en
210,chaligeyi,hi
215,totaly,en
216,chutiyapa,en
217,suru,en
220,yadi,hi
227,jita,hi
228,degi,hi
231,nutanki,hi
234,meetvibe,en
242,dimaag,hi
246,kailashkher,hi
249,kashir,hi
250,herath,en
256,shashwat,hi
258,sthir,en
260,shantsalone,hi
262,utpatti,en
267,permanent,en
272,chahne,hi
277,purely,en
278,contractual,en
279,audi,hi
286,flood,en
289,lovers,en
295,growth,en
298,talentd,hi
299,banda,hi
300,jiske,hi
308,pahunch,hi
323,dainikbhaskar,hi
325,acchi,hi
326,zidd,hi
330,mukulkmishra,en
331,tumhi,hi
335,campus,en
338,hata,hi
345,dhapli,hi
347,bjate,hi
358,gharwapsi,hi
360,bdnewsorg,en
361,eight,en
362,militants,en
364,surrender,en
368,newsxeight,en
369,milit,en
371,glossary,en
373,budgetary,en
374,terms,en
379,mahashivrathiri,en
388,pavan,hi
391,param,hi
392,sant,en
394,asaram,en
398,charano,hi
402,koti,hi
405,expectations,en
406,dikaho,hi
411,recently,en
412,allowed,en
417,automatic,en
420,medical,en
421,devices,en
422,pharmaceuticals,en
426,celebtrains,en
428,padhaai,hi
432,paati,hi
440,taurus,hi
441,sarahzaki,hi
442,bachon,hi
445,somwar,en
449,pati,hi
453,suwami,hi
456,hen,hi
457,muft,en
459,advice,en
464,shortly,en
467,presenting,en
470,behenchod,en
472,celeb,en
473,shikar,hi
481,imtiyazazhar,hi
485,misled,en
488,propaganda,en
492,antiindia,en
493,forces,en
496,outside,en
502,directly,en
512,hasina,hi
513,biopic,en
521,riyasobti,hi
524,vii,hi
527,haii,hi
529,mosessapir,en
533,yash,hi
541,nickhunterr,en
546,faster,en
551,kaisa,hi
558,shivaala,hi
560,lalitvijay,en
561,aayenge,hi
564,neeerajbadhwar,hi
565,marines,en
566,mercilessly,en
569,fishermen,en
574,patriotic,en
577,feelng,en
579,hawai,hi
580,aftr,en
582,packs,en
593,lov,en
615,tmrw,en
616,yesiamsaffron,en
617,aditispeaks,en
618,rssorg,en
620,swim,en
621,giabby,en
623,rasa,hi
624,sentosa,en
625,resort,en
631,aankhen,hi
633,probably,en
635,directed,en
637,aneez,en
638,bazmi,hi
639,rogers,en
640,potentialpathin,en
641,madrid,en
643,bye,en
645,thiem,en
646,murray,en
648,allezroger,en
651,outcry,en
659,sayingkya,hi
666,baith,hi
677,kay,hi
679,banay,hi
681,es,hi
682,mulak,hi
686,takdeer,hi
687,likh,hi
697,ivarkum,en
698,therichirukku,en
701,shyamkkumar,hi
702,twistedbollywooddialogues,en
705,lag,hi
722,schedule,en
731,panoramma,en
732,mode,en
735,larkiya,hi
736,block,en
738,marte,hi
753,grp,en
755,bada,hi
764,owner,en
766,almas,en
768,sibling,en
786,declare,en
791,scoopwhoop,en
795,maika,hi
799,ihsavru,en
800,pruthapartha,hi
802,fever,en
812,pagalo,hi
814,nakli,hi
816,aajtak,hi
818,ank,hi
819,gin,hi
834,asot,en
839,thevoiceofgaia,en
840,taken,en
847,stupid,en
849,considering,en
851,aging,en
852,population,en
854,lack,en
857,manual,en
858,labor,en
859,force,en
864,mainezindagi,hi
870,gam,hi
878,aajao,hi
879,rekhta,hi
880,isro,en
884,replacing,en
885,pslv,en
892,relaunched,en
896,rahulrally,en
897,rahulreturns,en
898,pappufarce,en
912,asnushka,hi
914,pk,hi
916,guy,en
919,krti,hi
923,badla,hi
928,parvatis,en
930,wid,en
932,hpy,en
933,lifeoktv,en
935,shuvankr,en
936,karorpati,hi
938,kharid,hi
939,sakenge,hi
940,guess,en
942,sena,en
947,cst,en
951,chhratrapati,en
952,station,en
